"ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV259","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV1259","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV4649","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV760","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV9730","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV12409","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV13039","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV5202","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV10954","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV14573","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV12243","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV14100","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV12988","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV14209","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV2958","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV2333","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV11845","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV13661","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV95","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV437","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV837","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV4435","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV5344","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","CHKCI002","NA"
"ASV4222","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","CHKCI002","NA"
"ASV4231","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","CHKCI002","NA"
"ASV2089","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enteroscipio","rubneri"
"ASV1138","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","pamelaeae"
"ASV12467","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","NA"
"ASV14009","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","NA"
"ASV2718","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","NA"
"ASV1869","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","NA"
"ASV3232","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","faecihominis"
"ASV5569","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","NA"
"ASV12818","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","NA"
